user_id,total_views,unique_channels,last_view_date
939753,1,1,2016-03-19T11:38:00.000Z
86703,1,1,2016-03-19T22:08:00.000Z
809081,4,2,2016-03-09T17:24:00.000Z
866302,3,2,2016-03-30T09:58:00.000Z
788787,2,2,2016-03-07T20:46:00.000Z
788788,1,1,2016-02-03T17:41:00.000Z
809083,2,2,2016-02-25T12:46:00.000Z
820513,10,5,2016-03-21T20:38:00.000Z
771941,6,3,2016-01-31T21:05:00.000Z
809085,11,7,2016-03-15T15:42:00.000Z
764468,1,1,2016-02-02T06:59:00.000Z
2368619,1,1,2016-01-15T15:44:00.000Z
809087,4,3,2016-01-16T14:38:00.000Z
771945,5,5,2016-03-28T13:46:00.000Z
820518,1,1,2016-01-07T17:11:00.000Z
788792,4,2,2016-03-31T19:10:00.000Z
939765,1,1,2016-03-24T07:04:00.000Z
939766,3,3,2016-03-21T22:48:00.000Z
789360,3,3,2016-02-14T17:50:00.000Z
866310,2,1,2016-03-18T19:32:00.000Z
788794,4,4,2016-02-13T21:02:00.000Z
997491,2,2,2016-03-07T20:10:00.000Z
809091,10,4,2016-03-28T15:50:00.000Z
2203482,2,2,2016-03-29T11:09:00.000Z
87234,1,1,2016-01-15T07:44:00.000Z
859460,1,1,2016-03-05T17:30:00.000Z
809094,4,4,2016-02-24T19:10:00.000Z
597491,4,4,2016-01-08T13:56:00.000Z
786206,3,1,2016-01-30T13:25:00.000Z
2285769,3,3,2016-03-05T06:55:00.000Z
750489,1,1,2016-01-29T19:26:00.000Z
820524,1,1,2016-02-25T16:52:00.000Z
2203487,1,1,2016-01-14T12:09:00.000Z
939774,1,1,2016-03-25T12:37:00.000Z
889100,1,1,2016-03-24T12:34:00.000Z
2203490,4,3,2016-03-05T14:05:00.000Z
772828,3,2,2016-02-08T18:02:00.000Z
869060,2,2,2016-03-16T21:34:00.000Z
869062,1,1,2016-03-05T10:33:00.000Z
371772,2,2,2016-01-09T15:38:00.000Z
2203491,9,3,2016-03-26T12:46:00.000Z
901272,1,1,2016-03-25T15:44:00.000Z
939781,1,1,2016-03-02T16:04:00.000Z
809101,1,1,2016-02-12T15:56:00.000Z
904411,2,2,2016-03-28T21:27:00.000Z
809102,5,4,2016-02-22T17:15:00.000Z
724179,1,1,2016-01-20T18:49:00.000Z
820539,1,1,2016-01-03T23:04:00.000Z
791444,1,1,2016-02-14T17:02:00.000Z
939786,2,1,2016-02-28T18:31:00.000Z
861773,1,1,2016-03-12T19:18:00.000Z
865440,2,2,2016-03-14T10:28:00.000Z
803663,1,1,2016-03-12T18:41:00.000Z
771959,1,1,2016-02-04T15:45:00.000Z
831878,1,1,2016-03-05T05:51:00.000Z
904424,2,1,2016-03-26T07:31:00.000Z
