SUBID,month_id,watch_date,watch_time,month,day_name,day_type,month_Name,Tv_Channel,Time_of_day,Duration,Usage_level,hour_of_day,Region,Age,Age_Group,Email_flag,Social_Media_flag,Gender,Race
810571,2016-03-11,2016-03-11,14:52:00,2016-03,Fri,weekday,Mar,Cartoon Network,03 afternoon,00:00:03,05 extreme usage:>2 hrs,14,Kwazulu Natal,39,adult,1,1,female,black
810571,2016-01-23,2016-01-23,07:37:00,2016-01,Sat,weekday,Jan,Africa Magic,02 morning,00:00:06,05 extreme usage:>2 hrs,7,Kwazulu Natal,39,adult,1,1,female,black
810571,2016-02-17,2016-02-17,20:22:00,2016-02,Wed,weekday,Feb,SuperSport Blitz,04 evening,00:00:24,05 extreme usage:>2 hrs,20,Kwazulu Natal,39,adult,1,1,female,black
810571,2016-02-01,2016-02-01,18:55:00,2016-02,Mon,weekday,Feb,CNN,04 evening,00:01:15,05 extreme usage:>2 hrs,18,Kwazulu Natal,39,adult,1,1,female,black
810572,2016-01-10,2016-01-10,07:40:00,2016-01,Sun,weekday,Jan,Trace TV,02 morning,00:37:15,05 extreme usage:>2 hrs,7,Western Cape,22,youth,1,1,male,None
810572,2016-01-10,2016-01-10,13:07:00,2016-01,Sun,weekday,Jan,E! Entertainment,03 afternoon,00:00:52,05 extreme usage:>2 hrs,13,Western Cape,22,youth,1,1,male,None
810572,2016-01-13,2016-01-13,08:59:00,2016-01,Wed,weekday,Jan,Trace TV,02 morning,00:02:21,05 extreme usage:>2 hrs,8,Western Cape,22,youth,1,1,male,None
810572,2016-01-13,2016-01-13,13:04:00,2016-01,Wed,weekday,Jan,Trace TV,03 afternoon,00:00:18,05 extreme usage:>2 hrs,13,Western Cape,22,youth,1,1,male,None
810572,2016-01-10,2016-01-10,09:52:00,2016-01,Sun,weekday,Jan,Channel O,02 morning,00:00:36,05 extreme usage:>2 hrs,9,Western Cape,22,youth,1,1,male,None
810572,2016-01-10,2016-01-10,09:51:00,2016-01,Sun,weekday,Jan,Trace TV,02 morning,00:01:45,05 extreme usage:>2 hrs,9,Western Cape,22,youth,1,1,male,None
810572,2016-01-13,2016-01-13,12:50:00,2016-01,Wed,weekday,Jan,Cartoon Network,03 afternoon,00:00:07,05 extreme usage:>2 hrs,12,Western Cape,22,youth,1,1,male,None
810572,2016-01-13,2016-01-13,19:07:00,2016-01,Wed,weekday,Jan,Trace TV,04 evening,00:14:12,05 extreme usage:>2 hrs,19,Western Cape,22,youth,1,1,male,None
